GENE_SYMBOL,logFC,P.Value,FDR
H1FX-AS1,-1.9843599,1.77e-07,0.0018812445
TXNIP,-2.5184677,4.07e-07,0.0028838663333333333
ARRDC4,-1.9297915,1.01e-06,0.0053673925
BDKRB2,1.5858313,1.34e-06,0.005696876
FAT1,1.6560751,2.74e-06,0.009660125555555555
CDH3,1.1839326,3.56e-06,0.009660125555555555
C11orf96,1.166592,3.91e-06,0.009660125555555555
C9orf24,-1.620466,4.09e-06,0.009660125555555555
ELFN2,1.114769,4.63e-06,0.009841991
C18orf1,1.2848004,7.95e-06,0.015363013636363637
SNAR-B2,-1.3326424,9.51e-06,0.016846172500000003
DDX17,-1.310671,1.12e-05,0.01724178888888889
LRRC66,-1.4005799,1.25e-05,0.01724178888888889
UAP1L1,1.0283854,1.33e-05,0.01724178888888889
EXTL1,-1.0316775,1.4e-05,0.01724178888888889
SNAR-D,-1.2149259,1.44e-05,0.01724178888888889
BGLAP,0.9184386,1.46e-05,0.01724178888888889
FLJ16779,-0.9867162,1.63e-05,0.01823626842105263
PRSS56,1.8647438,1.99e-05,0.020143538095238094
ITGA10,-1.1689992,1.99e-05,0.020143538095238094
DARC,-0.955794,2.18e-05,0.020290772727272727
IPO9,-1.0671314,2.26e-05,0.020290772727272727
LOC100507495,-0.7999339,2.34e-05,0.020290772727272727
SNAR-H,-1.2774697,2.52e-05,0.020290772727272727
CACNG1,1.5720875,2.66e-05,0.020290772727272727
RILPL1,0.9563497,2.7e-05,0.020290772727272727
LRRN4CL,-1.1334813,2.79e-05,0.020290772727272727
ARHGAP8,1.2061915,3e-05,0.020290772727272727
CHAC1,-1.0581448,3.03e-05,0.020290772727272727
SLC16A14,0.9241641,3.08e-05,0.020290772727272727
EIF5,-0.9106922,3.14e-05,0.020290772727272727
HMHA1,1.1068021,3.15e-05,0.020290772727272727
nan,0.008117440806045342,1.0797657603541784e-22,2.2952580767848768e-18
FBXL14,1.0578185,3.35e-05,0.02094439705882353
XLOC_012709,-0.8274174,3.79e-05,0.02131150512820513
LRRC36,0.8203723,3.81e-05,0.02131150512820513
KIAA1908,-1.1742909,3.82e-05,0.02131150512820513
SNAR-F,-1.3835601,3.87e-05,0.02131150512820513
AMH,-1.2249217,3.91e-05,0.02131150512820513
NUDT18,-0.7520523,4.22e-05,0.022426135
EGFL6,1.1818026,4.47e-05,0.023175314634146342
ELP2,0.7459483,4.58e-05,0.023180252380952383
FBXO9,-1.0122797,4.95e-05,0.02444555
SNAR-A3,-1.1391865,5.2e-05,0.02444555
LOC283454,1.1388872,5.27e-05,0.02444555
ACTA1,1.9368414,5.29e-05,0.02444555
IL10RA,0.8295503,5.72e-05,0.02459143137254902
KCNMB2,0.7444427,5.72e-05,0.02459143137254902
NAGPA,-0.7155649,5.74e-05,0.02459143137254902
NKD2,1.3239161,5.83e-05,0.02459143137254902
RHBDF1,1.2040167,5.9e-05,0.02459143137254902
HEXB,0.7787612,6.29e-05,0.025276505454545458
LOC100505894,0.8987616,6.32e-05,0.025276505454545458
FAM131C,0.9664008,6.53e-05,0.025276505454545458
COLEC11,0.8178093,6.54e-05,0.025276505454545458
RDH5,-1.0215425,6.72e-05,0.0255084
SCARNA2,1.0811743,6.85e-05,0.02554569298245614
LOC100507194,0.6722463,7.79e-05,0.028390705084745765
CAMK2N1,0.7967384,7.88e-05,0.028390705084745765
CRHR1,1.0488181,8.02e-05,0.028413523333333336
SLC2A4RG,0.9082332,8.72e-05,0.02910573846153846
FOXD4,-1.0054807,8.8e-05,0.02910573846153846
SQRDL,0.7101758,8.81e-05,0.02910573846153846
