GENE_SYMBOL,logFC,P.Value,FDR
OPTC,0.903,0.00206865,0.36143654641920664
ADH1C,-0.893,0.00212,0.3655509375
TLR4,0.385,0.0009854894234456206,0.2443903040996437
F13B,0.667,0.0021637,0.3658259825954199
LMCD1,0.542,0.00216899,0.3658259825954199
LOC283713,-1.3,0.00217132,0.3658259825954199
GAS2L2,0.9315,0.008644537228685497,0.6579089006010952
FGA,-0.25266666666666665,0.00043388580371347306,0.16231006057220448
TESC,-0.474,0.00227109,0.3768370800126424
TMPRSS2,0.296,0.00227835,0.3768370800126424
SPINK5,-0.317,0.006578187039153515,0.6131305782857143
UGT1A6,0.359,0.00014557825128883406,0.08683939416745559
TLE6,0.5285,9.390581409955142e-05,0.06476860071847498
AQP3,-0.3215,0.0008870672463877167,0.2358850746388349
C3orf20,1.17,0.00234736,0.38094546
TBC1D1,0.16363333333333333,0.003192221769600618,0.42961000854545456
LECT2,-0.868,0.00237428,0.38152717268156616
LDLRAD1,1.3849999999999998,0.00032336514319583756,0.13466022783915718
SLC6A6,0.479,0.005666612641370639,0.5899424887155252
PHKA1,0.4105,0.006015932576287453,0.6008038366119474
ZNF483,1.18,0.00260537,0.3993272310416667
TSKU,0.557,0.00262673,0.3998245367586207
TRIM4,0.21799999999999997,0.0122435108717147,0.7612014885904651
CYP8B1,-0.603,0.00269504,0.4073877030201343
C15orf48,0.341,0.00272258,0.4073877030201343
DPP4,0.305,0.00275025,0.4073877030201343
TFCP2L1,0.558,0.00279294,0.408293036821192
TMEM38A,0.278,0.00279336,0.408293036821192
C1orf168,-0.45,0.00284031,0.4114236356862745
C11orf36,0.929,0.00285206,0.4114236356862745
HCP5,0.448,0.00289091,0.414319965
MAP3K14,0.293,0.00299475,0.42111747379746833
CYP2E1,-0.678,0.00301466,0.42111747379746833
LGALS9C,0.499,0.00305844,0.42189268274999997
C5orf27,-0.314,0.0031235,0.42819110869565213
ABHD4,0.381,0.0031463,0.4286542425925926
COL4A3,-0.747,0.0032016,0.42961000854545456
MTMR11,-0.435,0.00321171,0.42961000854545456
FLJ46010,-1.1,0.00332205,0.4370502031952663
ADH1A,-0.954,0.00334654,0.4370502031952663
IFIT2,-0.249,0.0012221771761060408,0.2670759648894696
BAALC,-0.10060499999999997,0.01076006355588674,0.6964380139060886
GOLGA8E,-0.5215,0.013819284978334637,0.795318713984375
IGF1,-0.3175,0.00021668181773954403,0.10869055453021537
MOCS1,0.268,0.0009546350105692387,0.24436402344827587
VCX2,0.6425000000000001,0.0155632784089641,0.8264691859124157
NAT8,-0.304,0.00354807,0.4583269022807017
AP1M2,0.347,0.00355099,0.4583269022807017
CCL16,0.37349999999999994,0.011407653983649657,0.7297922639800914
GPR82,1.22,0.00363607,0.4665796568023256
LOC80054,-0.338,0.00381476,0.48667958358381497
HSD11B1,-0.302,0.00386487,0.49023876879310346
LOC100131510,-0.854,0.00393237,0.4931326038068182
ACMSD,-0.303,0.00404822,0.49919358613259673
TMEM120A,-0.278,0.0040737,0.49919358613259673
ADRB2,0.358,0.00407856,0.49919358613259673
FN1,0.454,0.00409379,0.49919358613259673
ABAT,-0.03999999999999998,0.0029778163715965806,0.42111747379746833
OR8B3,-0.51,0.00418095,0.5070205903846154
LOC100130172,0.786,0.00421142,0.5079248678688524
PCDHGB1,0.10399999999999998,0.007123302848573903,0.6200314848648648
BTBD16,-0.464,0.0043177,0.5179128081521739
SLC34A1,0.389,0.00445438,0.5282653524276275
ANXA13,-0.636,0.00447538,0.5282653524276275
FCN3,0.3121,0.028232270511398084,0.9422024751218664
PGD,0.571,0.00463512,0.5412790133333334
CLIP1,0.267,0.0048152,0.556420309947644
CPLX2,0.2841033333333333,0.0838430124910817,1.0
PTN,0.752,0.00494807,0.5596331500990099
DLG2,-0.39666,0.02637371421999276,0.9298630136572846
NTN4,-0.271,0.00505962,0.5596331500990099
SERPINB1,0.415,0.00506458,0.5596331500990099
SEPT4,-0.423,0.00506818,0.5596331500990099
C2orf82,-0.287,0.00509865,0.5596331500990099
S1PR4,0.367,0.00511547,0.5596331500990099
LOC254057,-0.45,0.00512192,0.5596331500990099
POR,0.11499999999999999,0.020719588647528327,0.8845043916838451
ADH1B,-1.15,0.00517705,0.5614040147058823
MAP3K5,-0.2985,0.0033377946958161675,0.4370502031952663
PNPLA5,-0.32,0.005189,0.5614040147058823
DHRS3,0.345,0.00524207,0.5641572595631067
MGC50722,-0.892,0.00526557,0.5641572595631067
CDH23,-0.5436666666666666,0.0016315767508660313,0.3077823116954203
AGPHD1,0.27449999999999997,0.0022994819598439616,0.3768370800126424
CFH,-0.256,0.002413572928284669,0.38190547544703246
RPRML,-0.6795,0.004803272064990444,0.556420309947644
TREM1,-0.016499999999999987,0.007962799587176838,0.6414509868953069
C14orf182,-0.776,0.004491920299132542,0.5282653524276275
FAM70B,0.5055,0.006704789269441759,0.6131305782857143
MLIP,-0.413,0.00550058,0.578225517
OASL,-0.415,0.00550063,0.578225517
C9orf140,0.461,0.00550167,0.578225517
XLOC_005127,-0.21852166666666664,0.0371857185248777,1.0
VSTM4,-0.435,0.026221236375972477,0.9278503327342754
TMEM82,-0.326,0.00575253,0.5935913666315484
ADRA2C,0.266,0.00581475,0.5941543854166667
FOXO1,0.301,0.00588378,0.5984373658064516
MT1X,-0.10345,0.018331689076168948,0.8626838157785177
SLITRK3,-1.08,0.00595263,0.5999109439726028
UPP1,0.554,0.0020797626476027026,0.36143654641920664
HSD17B2,0.242,0.00598241,0.6001716868636363
SIRPG,0.34853333333333336,0.023369587620974044,0.9001573619241153
AASS,-0.298,0.00607751,0.604219473918919
SLC17A6,-0.781,0.00611161,0.6048849520627803
