GENE_SYMBOL,logFC,P.Value,FDR
GVINP1,-0.58655,0.04177162252728926,1.0
NAT8B,-0.21000000000000002,0.007532210771971201,0.6273336752761373
PSG9,0.328,0.01735057,0.8569932825
IL7,-0.10885,0.08240591796909486,1.0
TPK1,0.37925000000000003,0.06069747385781404,1.0
KCNJ16,-0.451,0.01739536,0.8569932825
PLIN5,-0.272,0.01747117,0.8588111204231627
SPON1,0.541,0.01752511,0.8595482284666667
MUTED,-0.1618,0.06054574211362515,1.0
ITPKB,0.1854,0.06236014352473763,1.0
MAMLD1,-0.14615,0.0708649099835024,1.0
FHL2,0.13056666666666666,0.05001317557636089,1.0
LOC100131099,-0.568,0.01770978,0.8613297354487179
GOLGA5,-0.213,0.01772764,0.8613297354487179
OR51T1,-0.571,0.01778514,0.8613297354487179
HOXD12,-0.433,0.01779809,0.8613297354487179
COL5A2,-0.293,0.01788269,0.8613297354487179
FAM151A,0.1795,0.060169973966408836,1.0
FGF12,-0.639,0.01803796,0.8613297354487179
C1QL1,-0.487,0.01807136,0.8613297354487179
MINOS1,0.11175,0.07849807881064201,1.0
FGF11,0.368,0.0181479,0.8613297354487179
RNF44,0.222,0.01815625,0.8613297354487179
PLCXD1,0.314,0.014187613703698384,0.7984723638473553
FAM59A,-0.188,0.01820214,0.8613297354487179
ZBED3,-0.379,0.01824587,0.8613297354487179
C4B,0.365,0.01826389,0.8613297354487179
CCDC147,0.5136666666666666,0.04567356337869031,1.0
TSPAN14,0.144975,0.06818358004557781,1.0
BVES,1.26,0.01861593,0.8715837899999999
GRASP,0.351,0.01864153,0.8715837899999999
HLF,-0.31,0.01871546,0.8715837899999999
TNFRSF4,0.276,0.01880815,0.8715837899999999
HBB,-0.31995,0.051512271621070124,1.0
APOC2,-0.228,0.01886083,0.8715837899999999
HPGD,-0.542,0.01886792,0.8715837899999999
CHKA,0.232,0.01889588,0.8715837899999999
TGFB1I1,0.238,0.01894024,0.8715837899999999
ANKRD29,0.261,0.0189552,0.8715837899999999
ITIH4,-0.215,0.01907404,0.8752248167151767
TRIM34,-0.1157,0.08510532856070899,1.0
LOC441495,0.08900000000000002,0.0339606265170113,0.9925666908190226
C12orf76,-0.10515,0.0931811504795661,1.0
IFT80,-0.298,0.01918425,0.8784555637966804
MBNL2,-0.0485,0.06802021443330188,1.0
PCOLCE2,0.205,0.0193096,0.8823647652173913
PDK4,-0.38,0.01944058,0.8830861596620277
ABCB1,0.379,0.0508545653989982,1.0
DDX49,0.179,0.01954236,0.8830861596620277
PELP1,0.17,0.01960159,0.8830861596620277
