GENE_SYMBOL,logFC,P.Value,FDR
CYP3A4,3.36,9.26e-08,0.0010218873
CYP2B6,1.139,1.6974328610286384e-08,0.0003746404067576308
ST5,0.6362,8.789361886059811e-05,0.1492230816824816
LILRA3,-1.23,3.3e-05,0.09691175454545455
nan,0.011892560516970846,1.0,1.0
CYP2A13,1.39,3.55e-05,0.09691175454545455
CYP2A7,1.59,4.21e-05,0.09691175454545455
CH25H,-0.96,4.53e-05,0.09691175454545455
BMP10,0.916,4.83e-05,0.09691175454545455
CYP3A7,1.1915,1.0741897855997164e-06,0.007902814252657113
SLC22A12,0.666,0.000116,0.1669119375
NOXRED1,1.23,0.000121,0.1669119375
STYK1,-0.99,0.000142,0.18324331471829006
CYB5A,0.7175,4.106366918999793e-06,0.022657906067311107
SLC35F1,0.8414999999999999,0.0006066958790744852,0.4711016896551724
KIAA1751,-0.4811175,0.005781548527434644,0.9998607382550335
CYP3A5,0.9,1.3069252107378935e-05,0.04807524387699341
HOXC4,-0.608,0.000536,0.4711016896551724
THRSP,1.1,0.000588,0.4711016896551724
LOC284581,-0.467,0.000602,0.4711016896551724
C1orf111,-0.722,0.000613,0.4711016896551724
CD14,0.597,0.000619,0.4711016896551724
LAMA3,0.496,0.00016535740659432148,0.19208438531280367
GRIA3,-0.49166666666666664,1.0960429408876555e-05,0.04807524387699341
EREG,-1.16,0.000768,0.5650176
C11orf41,-0.09513333333333335,0.00977992257857549,0.9998607382550335
CYP2C8,1.44,0.000941,0.6280775999999999
CCL20,-0.481,0.000943,0.6280775999999999
AZFP,-0.859,0.000982,0.6280775999999999
LOC100133130,-0.8915,0.0023919358525269063,0.7151004
SYTL5,-0.694,0.000996,0.6280775999999999
XLOC_002886,1.08,0.00105,0.6437375
AZGP1,0.601,0.00108,0.6442345945945946
MOXD1,-0.442,0.00113,0.6563218421052631
CAPN13,0.5515,7.067884862145982e-05,0.12999607232701998
C5orf49,-1.37,0.00118,0.6567468292682926
IFT80,-0.565,0.0012,0.6567468292682926
NAT8,-0.412,0.00122,0.6567468292682926
TRIM4,0.35350000000000004,0.002335617467574935,0.7151004
FAM55C,0.627,0.00128,0.66213
CYP3A43,1.04,0.00129,0.66213
ESR2,0.6605,0.0041357983091888425,0.886225286234048
CCDC108,0.20656,0.07921194651302083,0.9998607382550335
PRR16,-1.31,0.00142,0.6852313226724288
PRO2012,-0.853,0.00143,0.6852313226724288
ZNF711,-0.34145000000000003,0.008188495757107346,0.9998607382550335
CYP4F3,0.656,0.00149,0.6852313226724288
MAP2,0.280575,0.011483072276771741,0.9998607382550335
CYP2C9,0.658,0.00155,0.6852313226724288
SUSD2,-0.35435,0.009925184240670671,0.9998607382550335
ECEL1P2,-0.734,0.00166,0.6989370738266393
KCNB2,0.47,0.0017,0.6989370738266393
EMR2,-1.07,0.00179,0.7151004
LAMA4,-0.035125,0.026834179911407467,0.9998607382550335
RGS2,-0.435,0.00187,0.7151004
TMEM97,0.554,0.00187,0.7151004
GPX2,0.469,0.0019,0.7151004
LYG2,0.9595,0.0016959944163406663,0.6989370738266393
DUX3,-0.998,0.00209,0.7151004
SSC5D,-0.31129999999999997,0.011345051484395808,0.9998607382550335
HOXD12,-0.539,0.00214,0.7151004
KDR,-0.418,0.00216,0.7151004
CEND1,-0.605,0.00224,0.7151004
ANKRD29,0.495,0.00225,0.7151004
AGXT2L1,0.657,0.00233,0.7151004
UGT1A6,0.3355,0.00014944405169358983,0.18324331471829006
HADH,0.419,0.00243,0.7151004
MRAP,-0.436,0.0003631927889652652,0.40080140226261846
LIN28B,-0.992,0.00256,0.7240364634146341
ARL14,-0.641,0.00262,0.7240364634146341
CXorf1,0.5076,0.014047936121481738,0.9998607382550335
SLC22A11,-0.016499999999999987,0.006198206994643053,0.9998607382550335
SSPO,-1.45,0.00264,0.7240364634146341
MUC13,-0.648,0.00265,0.7240364634146341
SPP1,-0.536,0.00266,0.7240364634146341
CLDN2,-0.627,0.00269,0.7240364634146341
FAM87B,-0.508,0.008569636007781484,0.9998607382550335
GSG1,-0.22312500000000002,0.017705296771905625,0.9998607382550335
EPHX1,0.652,0.00287,0.763177951807229
KMO,-0.3065,0.010027191511185772,0.9998607382550335
FOXP2,0.6083333333333333,0.00011453578636552183,0.1669119375
C12orf59,1.11,0.00293,0.7698575
VLDLR,0.441,0.000581585316874614,0.4711016896551724
ZNF280B,-0.691,0.00297,0.7711867058823529
LOC147004,1.06,0.00306,0.7762903448275862
ANK3,-0.023860000000000006,0.16807280680965708,0.9998607382550335
ABCB11,-0.536,0.00313,0.7850253409090909
MS4A6A,-0.49310000000000004,0.011788032855571274,0.9998607382550335
COL23A1,-0.23299999999999998,0.015619854086362803,0.9998607382550335
UCA1,-0.357,0.00327,0.8109232584269662
PRSS47,-0.37,0.00335,0.8149292307692309
C1QL1,-0.559,0.00336,0.8149292307692309
MECOM,-0.33663333333333334,0.04068292776413512,0.9998607382550335
ALAS1,0.843,0.00343,0.821136129032258
AKAP5,0.77955,0.020995719165826925,0.9998607382550335
HIST1H1T,-1.25,0.00346,0.821136129032258
PAGE2,-0.515,0.00377,0.8497712488733317
SLC26A4,-0.422,0.00378,0.8497712488733317
TP53TG3,-0.23905,0.02352487862651052,0.9998607382550335
HTR2A,-0.611,0.00382,0.8497712488733317
AGER,-0.24666666666666667,0.0580252940959674,0.9998607382550335
OR51T1,-0.967,0.00386,0.8497712488733317
CCDC126,0.3836,0.019542397383185976,0.9998607382550335
MAST4,0.21130000000000002,0.05908138765721772,0.9998607382550335
