GENE_SYMBOL,logFC,P.Value,FDR
FHL1,0.51367733,0.00119,0.1571023125
HIST1H2AH,0.59001667,0.00121,0.15875049689440993
CFHR3,-0.55562033,0.00123,0.1593944171779141
TRPA1,-0.533606,0.00125,0.1609984756097561
SNORD82,-0.48551,0.00127,0.1625830909090909
SLC7A2,-0.43693633,0.00128,0.16287614457831326
ACOT2,0.734537,0.0013,0.16443053892215567
PHGDH,0.292874335,0.010120540304460723,0.5010572093023256
AKAP12,-0.64184067,0.00137,0.17123378698224853
DUSP6,-0.53762033,0.0014,0.17293684210526317
BMPER,-0.643112,0.0014,0.17293684210526317
KCNT2,-0.598592,0.00145,0.1780718023255814
WNK3,-0.48500267,0.00146,0.1782634682080925
C8orf4,-0.742063,0.00147,0.17834721885851984
GLI2,-0.54128633,0.00156,0.1851229213483146
TMEM156,-0.505918,0.0016,0.18776
GJB2,0.43113533,0.00173,0.19990305816345247
CCDC102B,-0.452031,0.00178,0.2032375135135135
SNORD116-6,-0.4213388866666667,0.0033094802047645712,0.29386751519637805
RPL23AP32,-0.457408,0.00181,0.2055517741935484
SLC6A15,0.575183,0.0019,0.21234761904761904
ALDOB,-1.011882,0.002,0.22234736842105263
NDRG1,0.432051,0.00204,0.22560691099476443
FSTL1,0.45395333,0.00206,0.2266321875
KDR,-0.40782833,0.00208,0.22764683937823832
PHLDB2,-0.41487133,0.0021,0.22865103092783504
ACBD4,0.46787533,0.00215,0.2328946153846154
TMEM45A,-0.633857,0.00218,0.23470000000000002
ENPEP,0.435687,0.0022,0.23470000000000002
LBH,0.567039,0.0022,0.23470000000000002
ALCAM,-0.41214333,0.00225,0.23763374999999998
CDCA8,0.569698,0.00225,0.23763374999999998
CYP4A11,0.752882,0.00231,0.24260079207920793
PLIN1,0.84493833,0.00232,0.24260079207920793
SLC27A2,0.58479467,0.00235,0.24332867647058823
CCDC68,-0.447702,0.00238,0.24404242718446606
ACADM,0.58710233,0.00238,0.24404242718446606
SCD,0.44275333,0.00241,0.2447424519230769
DAB1,-0.52117433,0.00241,0.2447424519230769
ABCD4,0.44186867,7.699829012264213e-05,0.0338840600470952
GK3P,0.25766189000000006,0.00011361387576918971,0.04067569318428126
GK,0.5259305000000001,9.733482102578256e-05,0.03805980545454545
DAGLA,0.42341567,0.00247,0.2484467142857143
MGST3,0.80696967,8.416396326715258e-05,0.036281538695756406
CES2,0.42546567,0.00255,0.25387267605633806
LYRM1,0.44714033,0.00256,0.25387267605633806
RND3,0.42273967,0.0026,0.25663457943925233
HSD17B4,0.53812933,0.00268,0.2633006511627907
ACOT1,0.545353,0.00271,0.26501541666666667
ZG16,-0.316237835,0.0031291831040196503,0.2824689517359277
SRPX,0.68409967,0.00275,0.26666592760180996
TMOD1,0.48468667,0.00276,0.26666592760180996
C19orf12,0.41242433,0.00277,0.26666592760180996
NKAPP1,0.384457,0.00279,0.26666592760180996
C5orf51,-0.418964,0.00279,0.26666592760180996
C1orf116,0.422274,0.00291,0.27535339285714283
SEC14L3,0.43735433,0.00292,0.27535339285714283
ASS1,0.45973667,0.00305,0.2824689517359277
HIST1H4J,0.45151399999999997,4.322768719933395e-06,0.003511917064275119
HIST1H4K,0.45151399999999997,4.322768719933395e-06,0.003511917064275119
MPP5,-0.440224,0.00311,0.2824689517359277
SLC35F6,0.337893,0.000633852020192707,0.10834054838709677
LOC399898,-0.435598,0.00315,0.283138085106383
C1QTNF3-AMACR,0.130184665,0.007034717557462627,0.41276205268411964
AMACR,0.422539,0.00324,0.28999372881355934
F2RL2,-0.50197933,0.00334,0.29484187500000003
ARHGAP18,-0.2031645,0.0205010621446671,0.6654485570982047
GBP7,-0.384626,0.00335,0.29484187500000003
ADGRG1,0.667984,0.00337,0.29537141078838175
APPL2,-0.37934633,0.00339,0.29589657024793387
IFITM10,0.43236033,0.00344,0.29902518518518517
AADAC,0.886245,0.00347,0.30039676229508194
KCNQ3,0.44782467,0.00361,0.30997573170731707
CLN3,0.44090533,0.00361,0.30997573170731707
ANXA3,-0.48118667,0.00363,0.3104311336032389
AGPAT2,0.61183267,0.00366,0.3117345967741935
XKRX,-0.46123,0.00369,0.3130275903614458
UGT2B17,-0.33323646600000006,0.00018526306717984325,0.052882591459997685
UGT2B15,-0.38649555666666674,9.07920208247873e-05,0.037330840384615385
SULT1E1,0.88909533,0.00375,0.316845
GBP3,-0.285405335,0.004878657615908907,0.33810516233766236
PARK2,-0.38758667,0.00383,0.32231509960159366
PLEKHS1,-0.38443933,0.00397,0.3327710714285714
NDUFAF5,0.42132833,0.00399,0.3331255731225296
CFAP221,0.379455,0.00402,0.3343088976377953
APOA2,1.00775467,0.00406,0.33574527641879115
RAPGEF4,0.45192833,0.00415,0.33586379310344827
DSEL,-0.39884167,0.00415,0.33586379310344827
FSIP2,-0.4242147766666666,0.000478631740421988,0.09379387155963302
C15orf38-AP3S2,0.149400835,0.01905223691740894,0.6560151219512195
AP3S2,0.35814567,0.0043,0.33810516233766236
CST4,-0.48244,0.00431,0.33810516233766236
SLC5A12,-0.636796,0.00437,0.33810516233766236
CXCL13,-0.69047167,0.00441,0.33810516233766236
C5orf46,-0.382911,0.00442,0.33810516233766236
USP53,-0.41797067,0.00443,0.33810516233766236
RBM8A,-0.79896833,0.00443,0.33810516233766236
IQCJ-SCHIP1,0.17739533000000002,0.02237757395004433,0.6817798270893372
SCHIP1,0.38621533,0.00444,0.33810516233766236
FILIP1,0.474357,0.00446,0.33810516233766236
SIPA1L2,-0.446961,0.0045,0.33810516233766236
CCNYL1,-0.44449133,0.00454,0.33810516233766236
CCDC80,-0.42021767,0.00457,0.33810516233766236
KRT5,0.3466225,0.0004754630368849772,0.09379387155963302
TPM1,-0.375694,0.00465,0.33810516233766236
CYR61,-0.44459867,0.00465,0.33810516233766236
HSD11B1,1.05616067,0.00469,0.33810516233766236
SLCO4C1,0.37292600000000004,0.002336065026015059,0.24307734750993146
SULT4A1,0.40244567,0.00473,0.33810516233766236
SNORA33,-0.155871,0.030452818203671343,0.7278579754601228
CHRNA1,-0.36396233,0.00477,0.33810516233766236
PEX19,0.45304,0.0048,0.33810516233766236
LOC151760,-0.508959,0.00481,0.33810516233766236
FHDC1,-0.363652,0.00481,0.33810516233766236
EPB41L1,0.47510467,0.00487,0.33810516233766236
ERV3-1,0.400203,0.00491,0.33810516233766236
SLC38A3,-0.76876933,0.00493,0.33810516233766236
SLC25A33,0.714476,0.0003054937380259761,0.06915003157894738
ETV1,-0.40326633,0.00493,0.33810516233766236
LPL,0.452366,0.00493,0.33810516233766236
DKFZP434I0714,-0.402071,0.00495,0.33837815533980586
MBL2,0.39671833,0.00499,0.3389188745980707
HSP90AA6P,-0.61051267,0.00501,0.33918663461538456
FAM183BP,-0.596885,0.0005176804633612473,0.09592074059280375
TMED5,0.37129933,0.00515,0.3442514240506329
PALLD,-0.399322,0.00523,0.3483669710918216
SULT1B1,0.61203,0.00533,0.35293288401253914
GPHN,0.400246,0.00543,0.3566901396388582
HIST1H3B,0.50857033,0.00543,0.3566901396388582
ELOVL5,0.43568733,0.00552,0.3609874922600619
FITM2,0.460685,0.00563,0.3665652923076923
CDC20,0.425961,0.00564,0.3665652923076923
AFM,-0.76097367,0.00572,0.36838003012048187
BIRC3,-0.427497,0.00572,0.36838003012048187
PLPP1,0.37214467,0.00573,0.36838003012048187
APOL1,0.45263633,0.00577,0.36838003012048187
POLD1,0.37087833,0.00578,0.36838003012048187
SLC1A1,0.39237233,0.00578,0.36838003012048187
EGLN3,-0.402874,0.00579,0.36838003012048187
ERICH5,0.461862,0.00588,0.37298270270270273
ARG2,-0.46173933,0.006,0.3757276991150442
LOC400707,0.38714667,0.00601,0.3757276991150442
IL1R2,-0.74621367,0.00603,0.3757276991150442
LIPH,-0.465185,0.00603,0.3757276991150442
THRB,0.40748567,0.00611,0.37959273529411763
ABHD3,0.39471933,0.00618,0.3828156598240469
CDK20,0.364921,0.00621,0.3835492105263158
ARID4B,-0.34776133,0.00625,0.38489431486880465
IL36B,0.40805633,0.00635,0.38878565217391303
EXPH5,0.439238,0.00635,0.38878565217391303
C21orf2,0.06838699999999999,0.004664803021997224,0.33810516233766236
SNAI3-AS1,-0.775294,0.00642,0.39141466858789625
CEP83,-0.41785733,0.00643,0.39141466858789625
ZNF124,-0.37062133,0.00652,0.3954561647727273
ABCA1,0.56395567,0.00654,0.3954561647727273
MEP1B,-0.59917067,0.00657,0.3954561647727273
OAS3,0.42103433,0.00659,0.3954561647727273
APOL3,0.42055667,0.00659,0.3954561647727273
SLC35G1,0.40973,0.00661,0.39553266288951844
ACTR3C,0.36748733,0.00669,0.3991888983050847
RPS15,-0.160913335,0.03707920773526483,0.7386081998114986
WNT5A,-0.56354967,0.00677,0.40062896648044694
KRT82,0.45463,0.00679,0.40062896648044694
MMD,0.49710067,0.00679,0.40062896648044694
TSEN34,0.470093,0.00682,0.40127816155988855
SLC25A30,0.48990433,0.00709,0.414853379501385
EEPD1,0.50649133,0.0005506390561181306,0.10026852398606269
DOK2,0.45235533,0.00712,0.41545790055248616
PTPRR,-0.35022367,0.00714,0.4154771900826446
PGF,-0.408536,0.00719,0.41723728021978024
BCKDK,0.37795633,0.00723,0.41726581967213117
ACOT12,0.53978767,0.00723,0.41726581967213117
MYO15B,0.1620342233333333,0.027726261833294977,0.7272273722627737
SPRY1,-0.39237333,0.00728,0.4190066485013624
CEP170,-0.42827367,0.00736,0.42246000000000006
MIR21,0.343477,0.0074,0.4236048780487805
ERMP1,0.34885833,0.00747,0.4264562432432432
GPAM,0.38087633,0.00751,0.4269904021447721
ARID4A,-0.40883567,0.00752,0.4269904021447721
GLTPD2,0.33474367,0.00754,0.4269904021447721
SYN2,0.366572,0.00759,0.42865607999999994
IFT122,0.361694,0.00761,0.42865607999999994
SNORA31,-0.417014,0.00773,0.4342574202127659
TPT1,-0.09422955333333334,0.06482605394302282,0.8298913560233158
DSTN,-0.342636,0.0078,0.4370275862068965
LPIN1,0.370673,0.00788,0.4403419047619047
NDRG2,0.3098965,0.009964255256281588,0.5002287648456057
PLGLA,-0.39182689,0.00028367713193622017,0.06769380698287654
LPAL2,-0.29880377666666663,0.0017413323250520878,0.19990305816345247
PLGLB1,-0.39182689,0.00028367713193622017,0.06769380698287654
PLGLB2,-0.39182689,0.00028367713193622017,0.06769380698287654
PLG,-0.330646335,0.0007007234749433802,0.1138567843171463
BTD,0.401592,0.00805,0.4486547493403694
LOC100289656,0.359663,0.0006928770700998523,0.1134545918737921
DEXI,0.32548811,0.001228746494219831,0.1593944171779141
TNFRSF1B,0.480129,0.00809,0.449071653543307
TLR4,-0.35959133,0.0081,0.449071653543307
PRKG2,0.40013033,0.00821,0.451614140625
MPZL3,-0.33737167,0.00821,0.451614140625
DNAH6,-0.17170933249999998,0.040489735797238545,0.7570632743362833
USP17L15,0.16859379866666668,0.004885471732809851,0.33810516233766236
USP17L20,0.16859379866666668,0.004885471732809851,0.33810516233766236
USP17L3,0.16859379866666668,0.004885471732809851,0.33810516233766236
USP17L4,0.16859379866666668,0.004885471732809851,0.33810516233766236
USP17L8,0.16859379866666668,0.004885471732809851,0.33810516233766236
USP17L9P,0.16859379866666668,0.004885471732809851,0.33810516233766236
USP17L6P,0.16859379866666668,0.004885471732809851,0.33810516233766236
USP17L2,0.16859379866666668,0.004885471732809851,0.33810516233766236
TSKU,0.448413,0.00846,0.4641573506493507
AHSG,-0.87539,0.00849,0.4643793556701031
LIPA,0.35897567,0.00853,0.4643793556701031
OR2T35,-0.4263715,0.0007814926610810708,0.12031441344834619
OR2T2,-0.4263715,0.0007814926610810708,0.12031441344834619
C4orf46,0.2292886666666666,0.05404292184433431,0.8039074916323055
VWA5B1,-0.346181,0.00858,0.46524761538461545
CCDC155,-0.3927,0.00859,0.46524761538461545
RPS6KA2,-0.35677,0.00862,0.4656784143222506
ACOX1,0.4228,0.00877,0.47257323979591837
FLRT2,-0.31708067,0.00881,0.4735206870229008
SERPINB7,-0.482828,0.00889,0.4766077918781726
FDFT1,0.37757133,0.0008272223480355012,0.12260202797202797
NAGPA,0.36153533,0.00897,0.47779481108312344
DIXDC1,0.322843,0.00898,0.47779481108312344
ALPP,0.390655,0.00916,0.4861474371859297
ABCD3,0.346477,0.00922,0.48810541353383463
CARHSP1,0.354413,0.00925,0.48814097014925373
KRT6C,0.326333,0.00929,0.48814097014925373
KRT6B,0.332518165,0.004517041789870364,0.33810516233766236
KRT6A,0.32523183499999997,0.005244553179340021,0.3483669710918216
KIF22,0.37751066499999997,0.0009373389542199499,0.13199607153325335
NRGN,0.39766133,0.00932,0.488176
EREG,-0.40201933,0.00935,0.488176
OR10Q1,0.351901,0.00936,0.488176
TMEM247,-0.35599333,0.0094,0.48905467980295564
LINC01089,0.51928167,0.00943,0.4894100491400491
HADH,0.34352167,0.00946,0.4895991198044011
ECHDC3,0.48393067,0.00948,0.4895991198044011
ARNTL2,-0.34435,0.00966,0.49767848780487806
PNPLA2,0.33831867,0.00971,0.49797441776660933
VWC2L,0.400445,0.00973,0.49797441776660933
LOC646471,-0.417432,0.00975,0.49797441776660933
GPR63,-0.38867167,0.00978,0.49797441776660933
CCDC168,0.3696745,0.005437401172357731,0.3566901396388582
KCNN4,0.342025,0.00981,0.49797441776660933
PXDN,-0.31399367,0.00985,0.49797441776660933
HS3ST3B1,-0.511792,0.00997,0.5002287648456057
IYD,-0.489425,0.0101,0.5010572093023256
SPRY2,-0.325926,0.0101,0.5010572093023256
TBC1D19,-0.330001,0.0101,0.5010572093023256
PEMT,0.319623,0.0101,0.5010572093023256
HIST1H4C,0.35879,0.0102,0.5010572093023256
S100A3,0.32598367,0.0102,0.5010572093023256
C22orf23,-0.45164533,0.0102,0.5010572093023256
MB21D2,-0.44003567,0.0102,0.5010572093023256
VNN2,0.771775,0.0104,0.5073422632794456
OSBPL11,0.31823633,0.0104,0.5073422632794456
VIL1,-0.38175433,0.0104,0.5073422632794456
PSG4,-0.342242,0.00033372581623903637,0.07343010850434546
SIRT2,0.306385,0.0105,0.5110403225806452
DTX4,0.353185,0.0106,0.5135408256880734
AURKB,0.40852033,0.0106,0.5135408256880734
COL8A1,-0.52869433,0.0108,0.5208410958904109
RRN3P1,0.29763789,0.0014860157420394588,0.17834721885851984
RRN3P2,0.29763789,0.0014860157420394588,0.17834721885851984
RRN3,0.2846591675,0.0005077826014025424,0.09576689186987414
RASGRP1,0.31242967,0.0108,0.5208410958904109
PREB,0.40395833,0.0109,0.5213905063291139
AKR1C2,0.32674667,0.0109,0.5213905063291139
CTNS,0.33878633,0.011,0.5213905063291139
IFRD1,0.34515767,0.0111,0.5213905063291139
VGLL3,-0.398185,0.0111,0.5213905063291139
PRPSAP1,0.30323367,0.0111,0.5213905063291139
MPV17L,-0.42809667,0.0113,0.5213905063291139
CTSD,0.33833,0.0113,0.5213905063291139
DAPK1,-0.522448,0.0113,0.5213905063291139
SLURP1,-0.40569633,0.0113,0.5213905063291139
DHCR7,0.308645,0.0114,0.5213905063291139
CYP11A1,-0.314247,0.0114,0.5213905063291139
FLOT1,0.31179933,0.00015482606309722913,0.051340625
OR2M4,-0.33502333,0.0114,0.5213905063291139
PSG10P,-0.325984665,0.003125919377017339,0.2824689517359277
PSG8,-0.325984665,0.003125919377017339,0.2824689517359277
PSG11,-0.3069578866666667,0.0017352014272048787,0.19990305816345247
PSG9,-0.23609044333333332,0.00985434392020275,0.49797441776660933
PSG7,-0.325984665,0.003125919377017339,0.2824689517359277
PSG6,-0.17318155333333332,0.008162932517416075,0.4513759779198423
PSG5,-0.325984665,0.003125919377017339,0.2824689517359277
PSG3,-0.3100068866666667,0.0009716879909015157,0.13503266731455735
PSG2,-0.15444233333333335,0.0025198762119519246,0.2522622996448365
PSG1,-0.10954833333333334,0.002853757622794049,0.2715311813796338
ZNF644,-0.34464367,0.0114,0.5213905063291139
KRTAP9-1,0.19711417,0.04592265901372421,0.7735441198938567
ALAS1,0.36274,0.0013133504804356214,0.16513037022762878
PDE6G,-0.30676833,0.0115,0.5213905063291139
EFEMP1,-0.32006467,0.0117,0.5213905063291139
EDN2,0.32782433,0.0117,0.5213905063291139
AFAP1L2,-0.324017,0.0117,0.5213905063291139
MLXIPL,0.402989,0.0117,0.5213905063291139
HHAT,0.393599,0.0117,0.5213905063291139
PKMYT1,0.43518233,0.0117,0.5213905063291139
CARF,0.36548233,0.0117,0.5213905063291139
PPIP5K1,0.40465933,0.0118,0.5225396226415094
CCDC151,-0.34743433,0.0118,0.5225396226415094
SLC8B1,0.413629,0.0118,0.5225396226415094
KPNA7,0.35698133,0.0119,0.5236920936579403
SLC22A5,0.518656,0.0119,0.5236920936579403
PCSK9,0.421828,0.012,0.523710743801653
ODC1,-0.313849,0.012,0.523710743801653
LY75-CD302,-0.1098105,0.030299669488211414,0.7278579754601228
CD302,-0.33812133,0.012,0.523710743801653
LINC00242,-0.30748967,0.012,0.523710743801653
PLA2G12AP1,0.258927,0.043256452963837774,0.7667807453883794
PLA2G12A,0.408544,0.0121,0.5269861855670103
PRUNE2,0.3668865,0.011098490930299534,0.5213905063291139
TRNP1,-0.32468633,0.0122,0.528075
CDCA3,0.34962267,0.0122,0.528075
TMEM177,0.320084,0.0122,0.528075
CCDC88C,0.548699665,0.055451257396936224,0.8079438318401103
CDK1,0.31892333,0.0123,0.5287297449604378
ZNF417,-0.357062,0.0123,0.5287297449604378
ZNF280C,-0.31996067,0.0123,0.5287297449604378
C17orf53,0.42730133,0.0124,0.530212955465587
CYP3A4,0.87222433,0.0015037908841352558,0.1794608748338362
TMEM139,0.40924767,0.0125,0.5312625754527164
CHAD,-0.42032567,0.0125,0.5312625754527164
LRP11,0.34194667,0.0125,0.5312625754527164
OR4F17,0.39643633,0.00019639802407320824,0.05318609567305612
OR4F5,0.39643633,0.00019639802407320824,0.05318609567305612
OR4F4,0.39643633,0.00019639802407320824,0.05318609567305612
PLK2,-0.30372867,0.0126,0.5322996
TKT,0.33076833,0.0126,0.5322996
LOC100128288,0.40090833,0.0126,0.5322996
LOC401052,0.38958833,0.0127,0.5354532934131736
AREG,-0.246031,0.012963276990203467,0.5390222438269052
FKBP9P1,0.30799167,0.0129,0.5374491124260354
MMD2,-0.31194467,0.0129,0.5374491124260354
PELP1,0.30475733,0.0129,0.5374491124260354
TMEM106C,0.30962767,0.0129,0.5374491124260354
AGBL5,0.37042767,0.0131,0.5414050485436893
TRIM8,-0.29477533,0.0131,0.5414050485436893
PDE11A,-0.29858267,0.0131,0.5414050485436893
LOC101928751,0.32541867,0.0132,0.5414050485436893
TRIM25,0.326502,0.0132,0.5414050485436893
ZXDB,-0.34028133,0.0132,0.5414050485436893
DAAM1,-0.32263333,0.0132,0.5414050485436893
ANKRD44,-0.40193867,0.0133,0.543396324951644
ZBED3,0.304316,0.0134,0.5453722543352602
SOWAHB,0.372562,0.0134,0.5453722543352602
SYCE2,0.37138133,0.0136,0.5524476923076923
LINC01551,-0.393352,0.0137,0.5543775862068966
SLC5A8,-0.32570833,0.0137,0.5543775862068966
ZBTB25,0.32159833,0.0138,0.5562927480916031
NHLRC3,0.295431,0.0138,0.5562927480916031
ZNF761,-0.2443377475,0.012748496859647712,0.5359213455166314
ZNF525,-0.155890798,0.12992523276353365,0.9068659180977543
ZNF845,-0.2116672475,0.032519075616505605,0.7278579754601228
ZNF765,-0.22550388666666665,0.02442646750684619,0.7126523109766741
CKS2,0.41435167,0.014,0.56328
FER1L6-AS2,0.44841767,0.0141,0.5640801136363636
MB,0.34988433,0.0141,0.5640801136363636
NEB,-0.29012633,0.0142,0.5659369811320755
LINC01356,-0.41421367,0.0142,0.5659369811320755
FAM131C,-0.53068567,0.0143,0.5667146341463415
C11orf98,0.34023233,0.0143,0.5667146341463415
LBHD1,0.34023233,0.0143,0.5667146341463415
C1orf61,0.418678,0.0144,0.5696089887640449
RGCC,-0.41949467,0.0145,0.5703603351955308
UBAC1,0.32618967,0.0145,0.5703603351955308
FAH,0.62244467,0.0145,0.5703603351955308
NEU1,0.4143947766666667,0.0006905138944713272,0.1134545918737921
STK39,-0.29924967,0.0147,0.5771526022304833
FOXRED1,0.314977,0.0148,0.5789266666666667
LINC00634,-0.30963533,0.015,0.5841708791208792
SPC24,0.335053,0.0151,0.5841708791208792
ETFA,0.52578267,0.0151,0.5841708791208792
SLCO4A1,0.338797,0.0151,0.5841708791208792
TDO2,0.54308533,0.0151,0.5841708791208792
PPARGC1A,0.32138867,0.0151,0.5841708791208792
TRIM10,-0.3662704433333333,0.0017174433239271834,0.19990305816345247
CAMTA1,-0.29942733,0.0153,0.5886737704918032
SNORA48,0.50834367,0.0153,0.5886737704918032
EIF4A1,0.26586417,0.06807896796280528,0.8402989637305699
VCAN,-0.564819,0.0153,0.5886737704918032
ILVBL,0.52941467,0.0154,0.5903705989110708
OR4D10,0.119717665,0.06492287334584688,0.8301246087677504
DNM1P46,0.07215726799999998,0.032529222899004076,0.7278579754601228
CYP1B1,0.40073,0.0155,0.5909864620938629
CNIH2,0.336293,0.0155,0.5909864620938629
PFKFB2,0.30049767,0.0155,0.5909864620938629
DCAF15,0.33401167,0.0156,0.5926597122302157
SLC25A18,0.32265167,0.0156,0.5926597122302157
TOMM40L,0.38180167,0.0157,0.5932577817531305
HMCN1,-0.36740433,0.0157,0.5932577817531305
C12orf49,0.32814267,0.0158,0.5959703571428572
UBE2D3,0.315102,0.0159,0.5978660642292528
RUNX2,-0.328018,0.016,0.5997888888888888
MYLIP,0.32158867,0.0161,0.5997888888888888
LAMA1,0.315186,0.0161,0.5997888888888888
