GENE_SYMBOL,logFC,P.Value,FDR
PDK4,3.38832567,1.67e-10,2.525631950998221e-06
ANGPTL4,2.55365933,8.03e-10,5.374434628499405e-06
SLC16A13,1.70565333,3.49e-08,9.21490875e-05
JOSD1,0.8865973300000001,4.0105882898879477e-07,0.0007059638037275259
CREB3L3,1.68626833,1.94e-07,0.000455318
CD36,2.61363833,2.44e-07,0.0005154012
LAMA4,1.53701,3.23e-07,0.000620248090909091
TXNIP,2.13357233,4.68e-07,0.0007332698571428572
LPCAT3,1.174705,4.86e-07,0.0007332698571428572
ACSL1,1.2658,8.71e-07,0.0012265422
FABP4,4.06877067,1.01e-06,0.001333389375
CPT1A,1.11303233,1.16e-06,0.0013729950000000001
HMGCS2,1.775665,1.17e-06,0.0013729950000000001
HADHB,1.23428067,1.26e-06,0.0014007884210526316
PLIN2,2.218015,1.75e-06,0.0018482625
HADHA,1.11881333,2.18e-06,0.0021927685714285714
PLIN4,1.383518,3.33e-06,0.003197254090909091
LTBP1,1.62921867,3.7e-06,0.003398047826086957
ASPA,1.04930333,4.3e-06,0.003511917064275119
SLC38A4,1.26371733,5.14e-06,0.004021193333333333
KLF11,1.04635333,6.43e-06,0.004850746071428572
ACSL5,0.93317067,7.83e-06,0.00570321
AASS,-0.953751,8.86e-06,0.00605753129032258
SGK2,0.91871767,8.89e-06,0.00605753129032258
LRRC31,1.29392433,9.19e-06,0.0060662615625
ACADVL,0.94304033,9.56e-06,0.006119269090909091
SH3BGRL2,0.867528,1.36e-05,0.0084492
ITGB6,1.01360867,5.156914592172614e-09,1.556135813292316e-05
ECH1,0.91774333,1.73e-05,0.010440797142857143
TMEM135,0.38009733500000004,0.00017406437283231437,0.051340625
HSDL2,0.93995033,2.08e-05,0.0122044
AGR2,-0.94252367,3.18e-05,0.018154362162162162
SLC25A20,1.28077267,3.71e-05,0.020622718421052632
PEX11A,1.21186633,3.9e-05,0.021123
STC1,-1.049826,4.48e-05,0.02365776
ACACB,0.796647,5.12e-05,0.025951114285714286
SPTSSB,-0.96399567,5.16e-05,0.025951114285714286
POR,0.95649,5.43e-05,0.026673927906976744
CYP4X1,0.96075533,5.8e-05,0.02774304186442711
VNN1,1.318513,6.27e-05,0.028791567391304354
CIB2,0.74907767,7.33e-05,0.0329428914893617
nan,0.011878829503080083,0.026622003732892342,0.7272273722627737
CPA4,0.72739733,8.84e-05,0.037330840384615385
ACSL4,0.65181833,9.19e-05,0.037330840384615385
OTOGL,-0.89702067,9.67e-05,0.03805980545454545
CEMIP,-0.702627,9.91e-05,0.03805980545454545
PLA1A,0.957174,0.000101,0.038096839285714286
TRIM38,0.639074,0.000105,0.03823991379310345
SLC30A10,0.738474,0.000105,0.03823991379310345
RETSAT,0.72917567,0.000141,0.04963905000000001
IFIT2,0.933568,0.000157,0.051340625
HGF,-0.68316233,0.000159,0.051340625
CD14,0.95779367,0.00016,0.051340625
PDE5A,-0.65414267,0.000161,0.051340625
ACAA2,0.75725267,0.000161,0.051340625
DHRS9,0.72566833,0.000168,0.051340625
ETFDH,0.88005267,0.000172,0.051340625
PDK2,0.67223167,0.000175,0.051340625
IL7R,-0.82117267,0.000179,0.05179475342465753
ABAT,-0.98286333,0.000188,0.05294831999999999
ATP2B4,0.86710567,0.000207,0.054655762499999996
CPT2,0.83803933,0.000207,0.054655762499999996
ATRX,0.286659,0.000537830375212977,0.09878774796194532
NT5E,-0.59442067,0.000229,0.05923652071465887
SERINC2,0.45467650000000004,5.910319954074799e-05,0.02774304186442711
SLC37A2,0.80862233,0.000275,0.06769380698287654
GALT,0.98174333,0.000302,0.06915003157894738
IL1B,0.53953767,0.000309,0.06915003157894738
KLF10,0.633737,0.000311,0.06915003157894738
REEP6,0.66796233,0.000342,0.07371495918367346
SPATS2L,0.54395767,0.000342,0.07371495918367346
SLED1,1.03411067,0.000356,0.07583157
ABCB4,0.889215,0.000359,0.07583157
CCDC66,-0.53888067,0.0004,0.08365544554455447
RAB30,0.81940667,0.000412,0.0851013173076923
RGS4,-0.23773611000000003,0.014766412814748428,0.5786844858737125
IMPA2,0.79041433,0.000419,0.0851013173076923
ACSL3,0.64240433,0.000419,0.0851013173076923
GLP2R,0.585886,0.000457,0.09193534285714286
LOC441233,1.11485733,0.000482,0.09379387155963302
CAT,0.87696567,0.000484,0.09379387155963302
MERTK,0.58334233,0.000491,0.09400686486486486
MLIP,0.93588267,0.000494,0.09400686486486486
NPR1,-0.55336867,0.000513,0.0958946814159292
ADGRB2,1.05107833,0.000575,0.10380961538461538
CBSL,-0.609774,0.000594,0.10455885000000001
CBS,-0.609774,0.000594,0.10455885000000001
CPS1,-0.856322,0.000599,0.1045675785123967
ANKRD1,-0.50217667,0.000628,0.10834054838709677
GRHL1,0.77041433,0.000636,0.10834054838709677
LOC102724507,0.571054,1.5266111712823194e-09,5.374434628499405e-06
LOC100509620,0.571054,1.5266111712823194e-09,5.374434628499405e-06
AQP7P1,0.571054,1.5266111712823194e-09,5.374434628499405e-06
AQP7,0.5387206659999999,2.3913572418673685e-10,2.525631950998221e-06
SLC19A3,0.65842233,0.000657,0.111022488
ALDH6A1,-0.629142165,0.00017129385615039834,0.051340625
ADH4,-1.47560567,0.000677,0.11260055905511811
FAM71A,-0.299801665,0.0033111048911962306,0.29386751519637805
USP35,0.48988333,0.000712,0.11480592366412214
SLC26A2,-0.59763867,0.000753,0.11959112030075189
SLC2A2,-0.803524,0.000753,0.11959112030075189
IL1RL1,-0.561034,0.000823,0.12260202797202797
MLYCD,0.70739333,0.00083,0.12260202797202797
PDE8B,0.67125133,0.000839,0.1230708125
TNFRSF21,0.52271067,0.000851,0.12397015862068965
TSPAN13,0.48428967,0.000873,0.1254447551020408
UGT2B10,-0.5819659966666667,0.0006671645372951329,0.11184536921654835
MGAM,0.47939067,0.00089,0.12702344594594592
ZNF814,0.137975835,0.0007924103416504909,0.12031441344834619
PANK1,0.671969,0.000949,0.13275315894039735
G6PC,-0.584622,0.00104,0.14264883116883115
LOC100128816,-0.47841633,0.00107,0.14581683870967743
SEC16B,0.47137667,0.00109,0.14665012738853506
GRM3,0.879125,0.00109,0.14665012738853506
ADTRP,0.66398567,0.00112,0.1497326582278481
